ts,close_price,asset
2026-09-02 09:30:00-04:00,219.63999938964844,NVDA
2026-09-02 09:31:00-04:00,219.55499267578125,NVDA
2026-09-02 09:32:00-04:00,219.5,NVDA
2026-09-02 09:33:00-04:00,219.1999969482422,NVDA
2026-09-02 09:34:00-04:00,219.86500549316406,NVDA
2026-09-02 09:35:00-04:00,219.47999572753906,NVDA
2026-09-02 09:36:00-04:00,219.6024932861328,NVDA
2026-09-02 09:37:00-04:00,219.50950622558594,NVDA
2026-09-02 09:38:00-04:00,219.69000244140625,NVDA
2026-09-02 09:39:00-04:00,219.8800048828125,NVDA
2026-09-02 09:40:00-04:00,219.89999389648438,NVDA
2026-09-02 09:41:00-04:00,219.9250030517578,NVDA
2026-09-02 09:42:00-04:00,219.97500610351562,NVDA
2026-09-02 09:43:00-04:00,219.4149932861328,NVDA
2026-09-02 09:44:00-04:00,219.5500946044922,NVDA
2026-09-02 09:45:00-04:00,219.55999755859375,NVDA
2026-09-02 09:46:00-04:00,219.58889770507812,NVDA
2026-09-02 09:47:00-04:00,219.6750030517578,NVDA
2026-09-02 09:48:00-04:00,219.7301025390625,NVDA
2026-09-02 09:49:00-04:00,219.94000244140625,NVDA
2026-09-02 09:50:00-04:00,220.0,NVDA
2026-09-02 09:51:00-04:00,219.9949951171875,NVDA
2026-09-02 09:52:00-04:00,220.00999450683594,NVDA
2026-09-02 09:53:00-04:00,220.02999877929688,NVDA
2026-09-02 09:54:00-04:00,219.8699951171875,NVDA
2026-09-02 09:55:00-04:00,219.6649932861328,NVDA
2026-09-02 09:56:00-04:00,219.98500061035156,NVDA
2026-09-02 09:57:00-04:00,219.7071075439453,NVDA
2026-09-02 09:58:00-04:00,220.154296875,NVDA
2026-09-02 09:59:00-04:00,221.4600067138672,NVDA
2026-09-02 10:00:00-04:00,221.5,NVDA
2026-09-02 10:01:00-04:00,221.72000122070312,NVDA
2026-09-02 10:02:00-04:00,221.67010498046875,NVDA
2026-09-02 10:03:00-04:00,221.72999572753906,NVDA
2026-09-02 10:04:00-04:00,221.91659545898438,NVDA
2026-09-02 10:05:00-04:00,222.2100067138672,NVDA
2026-09-02 10:06:00-04:00,222.15499877929688,NVDA
2026-09-02 10:07:00-04:00,222.67539978027344,NVDA
2026-09-02 10:08:00-04:00,222.65029907226562,NVDA
2026-09-02 10:09:00-04:00,222.21499633789062,NVDA
2026-09-02 10:10:00-04:00,222.40170288085938,NVDA
2026-09-02 10:11:00-04:00,222.46749877929688,NVDA
2026-09-02 10:12:00-04:00,222.36500549316406,NVDA
2026-09-02 10:13:00-04:00,222.14999389648438,NVDA
2026-09-02 10:14:00-04:00,222.42999267578125,NVDA
2026-09-02 10:15:00-04:00,222.42999267578125,NVDA
2026-09-02 10:16:00-04:00,222.514892578125,NVDA
2026-09-02 10:17:00-04:00,222.80999755859375,NVDA
2026-09-02 10:18:00-04:00,222.94000244140625,NVDA
2026-09-02 10:19:00-04:00,222.97250366210938,NVDA
2026-09-02 10:20:00-04:00,222.74020385742188,NVDA
2026-09-02 10:21:00-04:00,222.91000366210938,NVDA
2026-09-02 10:22:00-04:00,223.0399932861328,NVDA
2026-09-02 10:23:00-04:00,223.19000244140625,NVDA
2026-09-02 10:24:00-04:00,223.19000244140625,NVDA
2026-09-02 10:25:00-04:00,223.0399932861328,NVDA
2026-09-02 10:26:00-04:00,223.14010620117188,NVDA
2026-09-02 10:27:00-04:00,222.6649932861328,NVDA
2026-09-02 10:28:00-04:00,222.8000030517578,NVDA
2026-09-02 10:29:00-04:00,222.8300018310547,NVDA
2026-09-02 10:30:00-04:00,222.89149475097656,NVDA
2026-09-02 10:31:00-04:00,223.00790405273438,NVDA
2026-09-02 10:32:00-04:00,223.0500030517578,NVDA
2026-09-02 10:33:00-04:00,223.2550048828125,NVDA
2026-09-02 10:34:00-04:00,223.35499572753906,NVDA
2026-09-02 10:35:00-04:00,223.57000732421875,NVDA
2026-09-02 10:36:00-04:00,223.94500732421875,NVDA
2026-09-02 10:37:00-04:00,223.53500366210938,NVDA
2026-09-02 10:38:00-04:00,223.65499877929688,NVDA
2026-09-02 10:39:00-04:00,223.78500366210938,NVDA
2026-09-02 10:40:00-04:00,224.0,NVDA
2026-09-02 10:41:00-04:00,223.8699951171875,NVDA
2026-09-02 10:42:00-04:00,224.00999450683594,NVDA
2026-09-02 10:43:00-04:00,224.0200958251953,NVDA
2026-09-02 10:44:00-04:00,224.07000732421875,NVDA
2026-09-02 10:45:00-04:00,224.10330200195312,NVDA
2026-09-02 10:46:00-04:00,224.0500030517578,NVDA
2026-09-02 10:47:00-04:00,223.71499633789062,NVDA
2026-09-02 10:48:00-04:00,223.52999877929688,NVDA
2026-09-02 10:49:00-04:00,223.72999572753906,NVDA
2026-09-02 10:50:00-04:00,223.7949981689453,NVDA
2026-09-02 10:51:00-04:00,223.83999633789062,NVDA
