ts,close_price,asset
2026-09-06 00:00:00+00:00,79833.96875,BTC
2026-09-06 00:01:00+00:00,79836.3203125,BTC
2026-09-06 00:02:00+00:00,79836.3203125,BTC
2026-09-06 00:03:00+00:00,79849.6015625,BTC
2026-09-06 00:04:00+00:00,79883.9609375,BTC
2026-09-06 00:05:00+00:00,79888.4765625,BTC
2026-09-06 00:06:00+00:00,79884.0,BTC
2026-09-06 00:07:00+00:00,79878.546875,BTC
2026-09-06 00:08:00+00:00,79903.8125,BTC
2026-09-06 00:09:00+00:00,79913.6796875,BTC
2026-09-06 00:10:00+00:00,79918.828125,BTC
2026-09-06 00:11:00+00:00,79910.2265625,BTC
2026-09-06 00:12:00+00:00,79900.9609375,BTC
2026-09-06 00:13:00+00:00,79900.9921875,BTC
2026-09-06 00:14:00+00:00,79911.84375,BTC
2026-09-06 00:15:00+00:00,79913.9609375,BTC
2026-09-06 00:16:00+00:00,79904.34375,BTC
2026-09-06 00:17:00+00:00,79903.5234375,BTC
2026-09-06 00:18:00+00:00,79903.9296875,BTC
2026-09-06 00:19:00+00:00,79904.34375,BTC
2026-09-06 00:20:00+00:00,79919.828125,BTC
2026-09-06 00:21:00+00:00,79906.421875,BTC
2026-09-06 00:22:00+00:00,79893.03125,BTC
2026-09-06 00:23:00+00:00,79870.25,BTC
2026-09-06 00:24:00+00:00,79871.8125,BTC
2026-09-06 00:25:00+00:00,79888.4765625,BTC
2026-09-06 00:26:00+00:00,79911.953125,BTC
2026-09-06 00:27:00+00:00,79926.703125,BTC
2026-09-06 00:28:00+00:00,79935.859375,BTC
2026-09-06 00:29:00+00:00,79927.71875,BTC
2026-09-06 00:30:00+00:00,79893.0234375,BTC
2026-09-06 00:31:00+00:00,79902.1484375,BTC
2026-09-06 00:32:00+00:00,79927.703125,BTC
2026-09-06 00:33:00+00:00,79927.703125,BTC
2026-09-06 00:34:00+00:00,79900.78125,BTC
2026-09-06 00:35:00+00:00,79905.0078125,BTC
2026-09-06 00:36:00+00:00,79894.4765625,BTC
2026-09-06 00:37:00+00:00,79906.6875,BTC
2026-09-06 00:38:00+00:00,79900.0078125,BTC
2026-09-06 00:39:00+00:00,79904.09375,BTC
2026-09-06 00:40:00+00:00,79899.640625,BTC
2026-09-06 00:41:00+00:00,79913.2421875,BTC
2026-09-06 00:42:00+00:00,79892.390625,BTC
2026-09-06 00:43:00+00:00,79899.578125,BTC
2026-09-06 00:44:00+00:00,79875.15625,BTC
2026-09-06 00:45:00+00:00,79874.6484375,BTC
2026-09-06 00:46:00+00:00,79863.703125,BTC
2026-09-06 00:47:00+00:00,79874.1875,BTC
2026-09-06 00:48:00+00:00,79891.9765625,BTC
2026-09-06 00:49:00+00:00,79880.3671875,BTC
2026-09-06 00:50:00+00:00,79869.9375,BTC
2026-09-06 00:51:00+00:00,79927.9765625,BTC
2026-09-06 00:52:00+00:00,79918.3125,BTC
2026-09-06 00:53:00+00:00,79879.5625,BTC
2026-09-06 00:54:00+00:00,79884.0078125,BTC
2026-09-06 00:55:00+00:00,79903.9921875,BTC
2026-09-06 00:56:00+00:00,79925.6171875,BTC
2026-09-06 00:57:00+00:00,79925.9765625,BTC
2026-09-06 00:58:00+00:00,79931.9765625,BTC
2026-09-06 00:59:00+00:00,79872.2421875,BTC
2026-09-06 01:00:00+00:00,79908.71875,BTC
2026-09-06 01:01:00+00:00,79885.453125,BTC
2026-09-06 01:02:00+00:00,79892.6171875,BTC
2026-09-06 01:03:00+00:00,79939.7734375,BTC
2026-09-06 01:04:00+00:00,79942.78125,BTC
2026-09-06 01:05:00+00:00,79969.1171875,BTC
2026-09-06 01:06:00+00:00,79980.15625,BTC
2026-09-06 01:07:00+00:00,79986.6171875,BTC
2026-09-06 01:08:00+00:00,79981.3984375,BTC
2026-09-06 01:09:00+00:00,79974.34375,BTC
2026-09-06 01:10:00+00:00,79972.7734375,BTC
2026-09-06 01:11:00+00:00,79981.3984375,BTC
2026-09-06 01:12:00+00:00,79986.0390625,BTC
2026-09-06 01:13:00+00:00,79997.9296875,BTC
2026-09-06 01:14:00+00:00,79958.4921875,BTC
