asset,ts,close_price,log_return
AAPL,2026-09-08 09:30:00,319.4700012207031,
AAPL,2026-09-08 09:31:00,319.82000732421875,0.001094983915933344
AAPL,2026-09-08 09:32:00,318.4551086425781,-0.004276841531137723
AAPL,2026-09-08 09:33:00,317.44500732421875,-0.00317692084829478
AAPL,2026-09-08 09:34:00,317.2698974609375,-0.0005517748721634275
AAPL,2026-09-08 09:35:00,316.7950134277344,-0.0014979038071342994
AAPL,2026-09-08 09:36:00,315.8399963378906,-0.0030191747233389134
AAPL,2026-09-08 09:37:00,315.80499267578125,-0.00011083334073419703
AAPL,2026-09-08 09:38:00,316.7550048828125,0.0030037085018640207
AAPL,2026-09-08 09:39:00,317.3500061035156,0.0018766651738143807
AAPL,2026-09-08 09:40:00,317.7099914550781,0.0011337051349587085
AAPL,2026-09-08 09:41:00,317.42999267578125,-0.0008816916095081292
AAPL,2026-09-08 09:42:00,317.5950012207031,0.000519691508906374
AAPL,2026-09-08 09:43:00,317.85260009765625,0.0008107635957063363
AAPL,2026-09-08 09:44:00,317.518310546875,-0.0010522659316829636
AAPL,2026-09-08 09:45:00,316.94000244140625,-0.0018229984658997115
AAPL,2026-09-08 09:46:00,317.0400085449219,0.0003154866166505932
AAPL,2026-09-08 09:47:00,316.3599853515625,-0.002147216486216971
AAPL,2026-09-08 09:48:00,316.6300048828125,0.0008531558217165423
AAPL,2026-09-08 09:49:00,316.2200012207031,-0.0012957374275712294
AAPL,2026-09-08 09:50:00,316.0299987792969,-0.0006010358153452613
AAPL,2026-09-08 09:51:00,316.07000732421875,0.00012658928836877732
AAPL,2026-09-08 09:52:00,316.1600036621094,0.0002846949272721399
AAPL,2026-09-08 09:53:00,316.5793151855469,0.001325384948679732
AAPL,2026-09-08 09:54:00,316.4599914550781,-0.00037698680202074495
AAPL,2026-09-08 09:55:00,317.2011108398437,0.002339167482471758
AAPL,2026-09-08 09:56:00,317.19500732421875,-1.9241970278079952e-05
AAPL,2026-09-08 09:57:00,317.5799865722656,0.0012129630150825705
AAPL,2026-09-08 09:58:00,317.25,-0.001039606222030053
AAPL,2026-09-08 09:59:00,316.8999938964844,-0.0011038591576904514
AAPL,2026-09-08 10:00:00,317.2300109863281,0.0010408500373640362
AAPL,2026-09-08 10:01:00,316.7290954589844,-0.0015802774232431898
AAPL,2026-09-08 10:02:00,316.6199951171875,-0.0003445188269766313
AAPL,2026-09-08 10:03:00,316.5199890136719,-0.00031590519270263565
AAPL,2026-09-08 10:04:00,316.85791015625,0.0010670444140335172
AAPL,2026-09-08 10:05:00,316.6000061035156,-0.0008142737200515267
AAPL,2026-09-08 10:06:00,316.1400146484375,-0.0014539669406950849
AAPL,2026-09-08 10:07:00,316.2099914550781,0.00022132302127260506
AAPL,2026-09-08 10:08:00,316.20001220703125,-3.155942502463179e-05
AAPL,2026-09-08 10:09:00,315.9549865722656,-0.0007752074966088266
AAPL,2026-09-08 10:10:00,315.8399963378906,-0.000364011233881815
AAPL,2026-09-08 10:11:00,315.7799987792969,-0.0001899799222254615
AAPL,2026-09-08 10:12:00,315.95001220703125,0.0005382471273559104
AAPL,2026-09-08 10:13:00,315.8800048828125,-0.00022160176823406483
AAPL,2026-09-08 10:14:00,315.885009765625,1.5844127789838813e-05
AAPL,2026-09-08 10:15:00,315.6900939941406,-0.0006172370522913699
AAPL,2026-09-08 10:16:00,315.6099853515625,-0.0002537894279726031
AAPL,2026-09-08 10:17:00,315.6400146484375,9.514232680434933e-05
AAPL,2026-09-08 10:18:00,315.8450012207031,0.0006492207235779305
AAPL,2026-09-08 10:19:00,315.9588928222656,0.00036052833440872054
AAPL,2026-09-08 10:20:00,315.8800048828125,-0.0002497090323168068
AAPL,2026-09-08 10:21:00,315.7550048828125,-0.0003957982052901599
AAPL,2026-09-08 10:22:00,315.6650085449219,-0.0002850601393246991
AAPL,2026-09-08 10:23:00,315.6499938964844,-4.756626527890254e-05
AAPL,2026-09-08 10:24:00,315.739990234375,0.00028507369696073413
AAPL,2026-09-08 10:25:00,315.8550109863281,0.00036422312716963
AAPL,2026-09-08 10:26:00,315.6426086425781,-0.0006726940693283296
AAPL,2026-09-08 10:27:00,315.3299865722656,-0.0009909213118424263
AAPL,2026-09-08 10:28:00,315.3699951171875,0.000126870290588396
AAPL,2026-09-08 10:29:00,315.6700134277344,0.0009508694507148268
AAPL,2026-09-08 10:30:00,315.5060119628906,-0.0005196695119496718
AAPL,2026-09-08 10:31:00,315.42498779296875,-0.0002568400360693412
AAPL,2026-09-08 10:32:00,315.3599853515625,-0.0002061001590202997
AAPL,2026-09-08 10:33:00,315.5199890136719,0.0005072396399996805
AAPL,2026-09-08 10:34:00,315.6549987792969,0.0004278045559319421
AAPL,2026-09-08 10:35:00,315.5199890136719,-0.00042780455593204714
AAPL,2026-09-08 10:36:00,315.6050109863281,0.0002694299011148445
AAPL,2026-09-08 10:37:00,315.739990234375,0.0004275926786226512
AAPL,2026-09-08 10:38:00,315.8299865722656,0.0002849924531081009
AAPL,2026-09-08 10:39:00,315.9200134277344,0.00028500785462015166
AAPL,2026-09-08 10:40:00,315.7799987792969,-0.00044329475391707753
AAPL,2026-09-08 10:41:00,316.05499267578125,0.0008704611728284617
AAPL,2026-09-08 10:42:00,316.1400146484375,0.00026897388363967867
AAPL,2026-09-08 10:43:00,316.0199890136719,-0.00037973182584339396
